	name	price	refers	tag	seen
0	Оказание услуг по проведению периодического медицинского осмотра в центре профпатологии.	"
                                208 115.00"	https://zakupki.gov.ru//epz/order/notice/ea20/view/common-info.html?regNumber=0371500000823000043	ОФП	not
1	Поставка лекарственного препарата для медицинского применения Бикалутамид для обеспечения отдельных категорий граждан, проживающих на территории Ханты-Мансийского автономного округа – Югры и страдающих некоторыми видами заболеваний, при лечении которых лекарственные средства, медицинские изделия и специализированные продукты лечебного питания предоставляются по рецептам бесплатно за счет средств бюджета автономного округа в 2024 году.	"
                                2 372 554.80"	https://zakupki.gov.ru//epz/order/notice/ea20/view/common-info.html?regNumber=0387200009123004979	мониторинг	not
2	Поставка кресел	"
                                39 840.00"	https://zakupki.gov.ru//epz/order/notice/zk20/view/common-info.html?regNumber=0330300056423000027	мониторинг	not
3	Оказание услуг по техническому обслуживанию комплексных систем обеспечения безопасности СПб ГКУ «ГМЦ»	"
                                5 131 594.91"	https://zakupki.gov.ru//epz/order/notice/ok20/view/common-info.html?regNumber=0372200238823000037	мониторинг	not
4	Оборудование и материалы для СОУЭ, СКУД, ОПС (В том числе для выполнения капитального ремонта)	"
                                7 716 629.68"	https://zakupki.gov.ru//epz/order/notice/ea20/view/common-info.html?regNumber=0373100076523000508	мониторинг	not
5	на оказание услуги по охране объектов с применением кнопки тревожной сигнализации	"
                                430 416.00"	https://zakupki.gov.ru//epz/order/notice/ea20/view/common-info.html?regNumber=0853500000323007851	мониторинг	not
6	Поставка изделий медицинского назначения (Датчик системы чрескожного мониторинга уровня глюкозы)	"
                                50 406 000.00"	https://zakupki.gov.ru//epz/order/notice/ea20/view/common-info.html?regNumber=0340200003323013737	мониторинг	not
7	Медицинские изделия	"
                                29 864.35"	https://zakupki.gov.ru//epz/order/notice/ea20/view/common-info.html?regNumber=0346200002823000423	мониторинг	not
8	Оказание услуг по техническому обслуживанию систем (передачи извещений автоматической пожарной сигнализации на центральный пульт мониторинга МЧС ЕДДС-01) обеспечения пожарной безопасности зданий и сооружений для обеспечения нужд ОГБУЗ «РовеньскаяЦРБ» на 2024-2025 гг.	"
                                166 400.00"	https://zakupki.gov.ru//epz/order/notice/ea20/view/common-info.html?regNumber=0826500000923007295	мониторинг	not
9	Выполнение работ по доработке и миграции системы мониторинга Интернет-ресурсов (ИС МИР) в обновленную инфраструктуру ФГУП «ГРЧЦ»	"
                                43 673 781.07"	https://zakupki.gov.ru//epz/order/notice/notice223/common-info.html?noticeInfoId=15793668	мониторинг	not
10	Разработка проектной документации на выполнение работ по строительству объектов водоснабжения и канализации (Строительство ливневой канализации по пр. 1-й им. Айвазовского от дома №27 по пр. 1-й им. Айвазовского до ул. Свободная в г. Краснодаре)	"
                                7 582 418.18"	https://zakupki.gov.ru//epz/order/notice/ok20/view/common-info.html?regNumber=0318300119423001220	мониторинг	not
11	Услуги частной охраны (охранный (технический) мониторинг) для нужд филиалов ГБУ ПК «Пермский краевой многофункциональный центр предоставления государственных и муниципальных услуг»	"
                                2 701 630.55"	https://zakupki.gov.ru//epz/order/notice/ok20/view/common-info.html?regNumber=1056500004923000095	мониторинг	not
12	Выполнение работ по геотехническому мониторингу	"
                                800 000.00"	https://zakupki.gov.ru//epz/order/notice/ea20/view/common-info.html?regNumber=0190300000423001140	мониторинг	not
13	Услуги частной охраны (охранный (технический) мониторинг) для нужд филиалов ГБУ ПК «Пермский краевой многофункциональный центр предоставления государственных и муниципальных услуг»	"
                                1 967 184.11"	https://zakupki.gov.ru//epz/order/notice/ok20/view/common-info.html?regNumber=1056500004923000096	мониторинг	not
14	"Выполнение работ по технической доработке и сопровождению модуля ПК ""СТАСУС-Поставщик"", необходимого для осуществления мониторинга текущих цен строительных ресурсов"	"
                                2 400 000.00"	https://zakupki.gov.ru//epz/order/notice/ea20/view/common-info.html?regNumber=0832200006623001284	мониторинг	not
15	Оказание услуг по производству, размещению информационных материалов и мониторингу контента в мессенджере Telegram	"
                                4 983 627.00"	https://zakupki.gov.ru//epz/order/notice/notice223/common-info.html?noticeInfoId=15794317	мониторинг	not
16	Поставкамедицинских изделий (регистратор амбулаторный для мониторинга артериального давления) ввод в эксплуатацию медицинских изделий, обучение правилам эксплуатации специалистов, эксплуатирующих медицинские изделия	"
                                152 133.33"	https://zakupki.gov.ru//epz/order/notice/ea20/view/common-info.html?regNumber=0329200062223008029	мониторинг	not
17	"Поставка медицинского оборудования для поликлиники БУЗ ВО ""Междуреченская ЦРБ"""	"
                                28 600.00"	https://zakupki.gov.ru//epz/order/notice/zk20/view/common-info.html?regNumber=0330300073523000024	мониторинг	not
18	Поставка медицинских изделий Датчик системы чрескожного мониторинга уровня глюкозы (2) на 2023 год	"
                                78 000.00"	https://zakupki.gov.ru//epz/order/notice/zk20/view/common-info.html?regNumber=0826500000923007322	мониторинг	not
19	Поставка зеркала	"
                                3 987.00"	https://zakupki.gov.ru//epz/order/notice/zk20/view/common-info.html?regNumber=0816500000623017766	мониторинг	not
20	Открытый аукцион в электронной форме на поставку системы мониторинга температуры и влажности, с последующим монтажоми пуско-наладочными работами. (№688)	"
                                1 202 960.00"	https://zakupki.gov.ru//epz/order/notice/notice223/common-info.html?noticeInfoId=15795072	мониторинг	not
