	question	answer
0	Какое место в мире ты хочешь посетить?	Я мечтаю о поездке в Японию. А ты?
1	Я мечтаю о поездке в Японию. А ты?	Мне всегда хотелось посетить Италию, особенно Рим.
2	Как твое настроение сегодня?	Привет! Как дела?
3	Привет! Как дела?	Мое настроение сегодня нормальное, а у тебя?
4	Привет! Как дела?	Привет! У меня все хорошо, а у тебя?
5	Привет! У меня все хорошо, а у тебя?	У меня тоже хорошо. Знаешь ли ты, что самая высокая гора в мире - это Эверест?
6	Привет, как дела?	Привет! У меня все хорошо. Как твои дела?
7	Привет! У меня все хорошо. Как твои дела?	Тоже неплохо. Ты знаешь, что сегодня день рождения Анны?
8	Ты можешь объяснить, почему ты так думаешь?	Конечно, я могу. Мне кажется, что...
9	Конечно, я могу. Мне кажется, что...	Я слушаю тебя. Расскажи подробнее, почему ты пришёл к такому мнению.
10	Какой сейчас год?	2021.
11	2021.	А кто был президентом России в 2000 году?
12	Я давно хотел спросить, есть ли что-то, что тебе не нравится в нашей отношениях?	Ну, я бы не сказала, что мне что-то не нравится, но может быть мы могли бы больше времени проводить вместе?
13	Ну, я бы не сказала, что мне что-то не нравится, но может быть мы могли бы больше времени проводить вместе?	Конечно, я постараюсь больше времени уделять тебе. Что тебе нравится делать в свободное время?
14	Я не понимаю, почему ты всегда считаешь, что я не прав.	Ну, может быть, потому что ты действительно не прав?
15	Ну, может быть, потому что ты действительно не прав?	Я не хочу казаться грубым, но я всегда говорю правду
16	Какой ужасный день. Я не могу дождаться, чтобы все это закончилось.	Да, действительно не очень хорошо.
17	Да, действительно не очень хорошо.	Но мы должны оставаться оптимистами и надеяться на лучшее.
18	Привет, как дела?	Нормально, как сам?
19	Нормально, как сам?	Всё хорошо, спасибо.
20	Привет, когда ты родился?	Я родился в 1990 году.
21	Я родился в 1990 году.	В каком городе ты живешь?
22	Ты знаешь, что происходит в мире? 	Нет, что случилось?
23	Нет, что случилось?	В разных странах продолжаются протесты и конфликты.
24	Привет! Я только что вернулся из похода в горы.	В горах высотой менее 3000 метров происходит настоящее сокращение лесной растительности.
25	В горах высотой менее 3000 метров происходит настоящее сокращение лесной растительности.	Да, это верно. В таких условиях крупнолистовая растительность заменяется кустарниками и травой.
26	Привет, как дела?	Привет! У меня всё хорошо. А у тебя?
27	Привет! У меня всё хорошо. А у тебя?	У меня тоже всё отлично. Ты знаешь, что сегодня День рождения Пушкина?
28	Я слышал, что медведи могут заснуть на 7 месяцев. Это правда?	Да, это правда. Медведи засыпают на зимний сон и просыпаются только через несколько месяцев.
29	Да, это правда. Медведи засыпают на зимний сон и просыпаются только через несколько месяцев.	А правда ли, что мы можем увидеть созвездие Ориона всю зиму?
30	"Я слышал, что коровы могут видеть цвет красный.
"	"Да, это так. Коровы могут видеть ограниченный диапазон цветов, включая красный. Но они лучше видят зеленый и синий цвета.
"
31	"Да, это так. Коровы могут видеть ограниченный диапазон цветов, включая красный. Но они лучше видят зеленый и синий цвета.
"	"А на самом деле пчелы не могут видеть красный цвет, они видят его как темный серый.
"
32	Добрый день, я хочу заказать пиццу	Здравствуйте! Какую пиццу вы хотели бы заказать?
33	Здравствуйте! Какую пиццу вы хотели бы заказать?	Я бы хотел пиццу с тонким тестом, с луком и колбасой
34	Я не могу понять, почему ты всегда такой настороженный?	Мне просто трудно доверять людям
35	Мне просто трудно доверять людям	У меня были плохие опыты в прошлом
36	Знаешь ли ты, что самым высоким городом мира является Ла-Пас в Боливии? Его высота составляет 3660 м	Ого, я не знал. А знаешь ли ты, что Бразилия является крупнейшей страной в Южной Америке?
37	Ого, я не знал. А знаешь ли ты, что Бразилия является крупнейшей страной в Южной Америке?	Конечно знаю! Также интересный факт: самым крупным озером в Южной Америке является Титикака, которое расположено на границе между Перу и Боливией
38	Почему ты всегда так молчишь?	Не знаю
39	Не знаю	Мне просто нечего сказать
40	Привет, как дела?	Привет! У меня все хорошо, а у тебя?
41	Привет! У меня все хорошо, а у тебя?	Тоже неплохо. А ты знаешь, что Москва является столицей России?
42	Привет, как дела?	Привет! Все отлично, а у тебя?
43	Привет! Все отлично, а у тебя?	У меня тоже все хорошо. Ты знаешь, что сегодня выходной?
44	Привет, я нашел в интернете интересный факт. Знаешь ли ты, что у жирафов около 2 метров длинные ноги?	Да, я знаю об этом факте. А еще у жирафов самая высокая из всех животных на планете шея.
45	Да, я знаю об этом факте. А еще у жирафов самая высокая из всех животных на планете шея.	Действительно, я также читала о том, что жирафы могут очень быстро бегать. Их скорость может достигать до 60 км/ч!
46	Привет, как дела?	Привет, у меня все хорошо, а у тебя?
47	Привет, у меня все хорошо, а у тебя?	Тоже все отлично, вот интересный факт: в Сибири существует деревня Новый Ургал, где установлено самое холодное рекордное значение температуры - минус 67.8 градусов Цельсия.
48	Я слышал, что сегодня в центре города прошел крупный праздник	Да, это был праздник города, который проходил в честь дня города
49	Да, это был праздник города, который проходил в честь дня города	Какие были главные мероприятия на празднике?
50	Москва - столица Российской Федерации.	Да, это так. Кроме того, Москва является крупнейшим городом России.
51	Да, это так. Кроме того, Москва является крупнейшим городом России.	В Москве находится Кремль.
52	На Земле общая площадь воды составляет 361 132 000 км².	Да, это действительно так. А вы знали, что около 97,5% этой воды соленой и непригодной для питья?
53	Да, это действительно так. А вы знали, что около 97,5% этой воды соленой и непригодной для питья?	Вот это да, я не знал. А что насчет остальной воды? Где она находится?
54	Ты слышал о том, что произошло на прошлой неделе?	Нет, что именно произошло?
55	Нет, что именно произошло?	На углу Садового и Невского было ограбление банка.
56	Привет, как дела?	Привет! У меня все хорошо, а у тебя?
57	Привет! У меня все хорошо, а у тебя?	У меня тоже все хорошо, спасибо. А ты знал, что Москва является столицей России?
58	Давай поговорим о фактах.	Конечно, я готов.
59	Конечно, я готов.	Вы знали, что самая большая птица в мире – африканский страус?
60	Что кажется тебе самым важным в жизни?	Для меня самым важным в жизни является семья и здоровье.
61	Для меня самым важным в жизни является семья и здоровье.	Согласен, но я бы еще добавил к этому успешную карьеру и достижение своих целей.
62	Ты уже давно не звонил маме. Ей очень хочется тебя услышать.	Я знаю, что это плохо. Просто было много работы, а потом еще и сессия началась.
63	Я знаю, что это плохо. Просто было много работы, а потом еще и сессия началась.	Я обязательно позвоню ей сегодня. Скажи, что я ее очень сильно люблю и скучаю.
64	Погода сегодня хорошая?	Да, сегодня очень хорошая погода. Воздух чистый и свежий
65	Да, сегодня очень хорошая погода. Воздух чистый и свежий	А какой сегодня день недели?
66	Спасибо, я очень рад, что моя усердная работа окупилась.	Какие планы на будущее?
67	Какие планы на будущее?	Я хочу продолжать улучшать свои навыки и достигать еще больших результатов.
68	Москва - столица России.	Да, это верно. Самый крупный город России.
69	Да, это верно. Самый крупный город России.	Ежегодно в Москве проводятся международные фестивали и концерты.
70	Космический корабль Вояджер был запущен в 1977 году.	Да, это верно. Он был запущен в рамках миссии исследования нашей солнечной системы.
71	Да, это верно. Он был запущен в рамках миссии исследования нашей солнечной системы.	Вояджер прошел уже более 20 миллиардов километров пути.
72	По данным Всемирной организации здравоохранения, более 1 млрд людей на планете страдают от гипертонии	Неврологи определили, что причиной головных болей могут быть нарушения циркуляции крови в мозге
73	Неврологи определили, что причиной головных болей могут быть нарушения циркуляции крови в мозге	Медики рекомендуют занятия йогой и пилатесом для укрепления мышц спины и профилактики боли в пояснице
74	Привет, как дела?	Привет, у меня всё хорошо, а у тебя?
75	Привет, у меня всё хорошо, а у тебя?	Тоже неплохо, но слышал, что в нашем городе недавно произошло крупное землетрясение.
76	Москва является столицей России.	Действительно, Москва - главный город нашей страны.
77	Действительно, Москва - главный город нашей страны.	Набережная реки Невы называется утесом Петра Великого.
78	Какой сегодня день недели?	Сегодня четверг.
79	Сегодня четверг.	Какая температура на улице?
80	Сегодня грядущее выступление Элтона Джона в Москве уже распродано	Действительно, Элтон Джон имеет огромную популярность в России и всегда получает восторженный прием
81	Действительно, Элтон Джон имеет огромную популярность в России и всегда получает восторженный прием	Но я хотел купить билет на его концерт уже несколько недель назад
82	Помнишь, когда мы путешествовали по Европе и остановились в том милом отеле в Амстердаме?	Конечно помню, мы провели там прекрасные дни. А особенно запомнилась прогулка в парке Кейзерграт. Там было так красиво!
